company,ticker,has_adr,symbol
AGROMETAL S.A.,AGRO,,
ALUAR ALUMINIO ARGENTINO S.A.,ALUA,,
AUTOPISTAS DEL SOL S.A.,AUSO,,
BANCO BBVA ARGENTINA S.A.,BBAR,S,BBAR
BANCO DE VALORES S.A.,VALO,,
BANCO HIPOTECARIO S.A.,BHIP,,
BANCO MACRO S.A.,BMA,S,BMA
BANCO PATAGONIA S.A.,BPAT,,
B GAMING S.A.,GAMI,,
BOLDT S.A.,BOLT,,
BOLSAS Y MERCADOS ARGENTINOS S.A.,BYMA,,
CABLEVISIÓN HOLDING S.A.,CVH,,
CAMUZZI GAS PAMPEANA S.A.,CGPA2,,
CAPEX S.A.,CAPX,,
CARBOCLOR S.A.,CARC,,
CARLOS CASADO S.A.,CADO,,
CELULOSA ARGENTINA S.A.,CELU,,
CENTRAL COSTANERA S.A.,CECO2,,
CENTRAL PUERTO S.A.,CEPU2,,
CENTRAL URBANA S.A.,URBA,,
COMPAÑIA ARGENTINA DE COMODORO RIVADAVIA S.A.,COMO,,
COMPAÑIA INTRODUCTORA DE BUENOS AIRES S.A.,INTR,,
CONSULTATIO S.A.,CTIO,,
CONTINENTAL URBANA SOCIEDAD ANONIMA INVERSORA,COUR,,
CRESUD S.A.,CRES,,
DISTRIBUIDORA DE GAS CUYANA S.A.,DGCU2,,
DISTRIBUIDORA DE GAS DEL CENTRO S.A.,DGCE,,
DOMEC S.A.,DOME,,
DYCASA SOCIEDAD ANONIMA,DYCA,,
EDESA HOLDING S.A.,EDSH,,
EDESAL HOLDING S.A.,EDLH,,
ELECTROMAC S.A.,EMAC,,
EMPRESA DISTRIB. Y COMERCIALIZADORA NORTE S.A. (EDENOR S.A.),EDN,S,EDN
EMPRESA DISTRIBUIDORA SUR S.A. (EDESUR),DSUR,,
FERRUM S.A.,FERR,,
FIPLASTO S.A.,FIPL,,
GARCIA REGUERA S.A,REGE,,
GAROVAGLIO Y ZORRAQUIN S. A.,GARO,,
GCDI S.A.,GCDI,,
GRIMOLDI S.A.,GRIM,,
GRUPO CLARIN S.A.,GCLA,,
GRUPO CONCESIONARIO DEL OESTE S.A.,OEST,,
GRUPO FINANCIERO GALICIA S.A.,GGAL,S,GGAL
GRUPO SUPERVIELLE S.A.,SUPV,,
HAVANNA HOLDING S.A.,HAVA,,
HOLCIM (Argentina) S.A.,HARG,,
HOLDSAT S.A.,HSAT,,
HULYTEGO S.A.,HULI,,
IMPORTADORA Y EXPORTADORA DE LA PATAGONIA S.A.,PATA,,
INSTITUTO ROSENBUSCH S.A.,ROSE.,,
INSUMOS AGROQUIMICOS S.A.,INAG,,
INVERSORA ELECTRICA DE BUENOS AIRES S.A.,IEBA,,
INVERSORA JURAMENTO S.A.,INVJ,,
IRSA INVERSIONES Y REPRESENTACIONES S.A.,IRSA,,
LABORATORIOS RICHMOND S.A.C.I.F.,RICH,,
LEDESMA S.A.,LEDE,,
Loma Negra C.I.A.S.A.,LOMA,,
LONGVIE S.A.,LONG,,
MATBA ROFEX SOCIEDAD ANÓNIMA,MTR,,
METROGAS S.A.,METR,,
MIRGOR S.A.,MIRG,,
MOLINOS AGRO S.A.,MOLA,,
MOLINOS JUAN SEMINO S.A.,SEMI,,
MOLINOS RIO DE LA PLATA S.A.,MOLI,,
MORIXE HERMANOS S.A.,MORI,,
NATURGY BAN S.A.,GBAN,,
NUEVO CONTINENTE S.A.,NCON,,
OVOPROT INTERNATIONAL S.A,OVOP,,
PAMPA ENERGÍA S.A.,PAMP,S,PAMP
PAPEL PRENSA S.A.,PREN1,,
PATRICIOS S.A.,PATR,,
POLLEDO S.A.,POLL,,
RIGOLLEAU S.A.,RIGO,,
S.A. SAN MIGUEL,SAMI,,
SOCIEDAD COMERCIAL DEL PLATA S.A.,COME,,
TELECOM ARGENTINA S. A.,TECO2,S,TEO
TERNIUM ARGENTINA S.A.,TXAR,,
TRANSENER CIA. DE TRANSPORTE DE ENERGIA ELÉCTRICA EN ALTA TENSIÓN,TRAN,,
TRANSPORTADORA DE GAS DEL NORTE S.A.,TGNO4,,
TRANSPORTADORA DE GAS DEL SUR S.A.,TGSU2,S,TGS
YPF S.A.,YPFD,S,YPF
